dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	LSD	PhyML	region	Northern Europe	9	10	-0.05263157894736842
locrisk260.1	LSD	PhyML	region	South	0	2	-1
locrisk260.1	LSD	PhyML	region	South America	1	1	0
locrisk260.1	LSD	PhyML	region	Southern Africa	4	28	-0.75
locrisk260.1	LSD	PhyML	region	Southern Asia	2	2	0
locrisk260.1	LSD	PhyML	region	Southern Europe	1	5	-0.6666666666666666
locrisk260.1	LSD	PhyML	region	Western Africa	0	3	-1
locrisk260.1	LSD	PhyML	region	Western Asia	0	6	-1
locrisk260.1	LSD	PhyML	region	Western Europe	0	3	-1
locrisk260.1	LSD	PhyML	risk4	OT	54	25	0.3670886075949367
locrisk260.1	LSD	PhyML	risk4	PI	3	2	0.2
locrisk260.1	LSD	PhyML	risk4	SH	27	53	-0.325
locrisk260.1	LSD	PhyML	risk4	SM	0	4	-1
locrisk260.1	LSD	PhyML	risk5	MB	0	4	-1
locrisk260.1	LSD	PhyML	risk5	OT	6	119	-0.904
locrisk260.1	LSD	PhyML	risk5	PI	3	2	0.2
locrisk260.1	LSD	PhyML	risk5	SH	126	6	0.9090909090909091
locrisk260.1	LSD	PhyML	risk5	SM	0	4	-1
locrisk260.1	LSD	PhyML	risk6	MB	0	4	-1
locrisk260.1	LSD	PhyML	risk6	NR	3	117	-0.95
locrisk260.1	LSD	PhyML	risk6	OT	33	10	0.5348837209302325
locrisk260.1	LSD	PhyML	risk6	PI	3	2	0.2
locrisk260.1	LSD	PhyML	risk6	SH	111	13	0.7903225806451613
locrisk260.1	LSD	PhyML	risk6	SM	0	4	-1
locrisk260.1	LSD	RAxML-NG	continent	Africa	25	5	0.6666666666666666
locrisk260.1	LSD	RAxML-NG	continent	Americas	1	3	-0.5
locrisk260.1	LSD	RAxML-NG	continent	Asia	1	10	-0.8181818181818182
locrisk260.1	LSD	RAxML-NG	continent	Europe	10	19	-0.3103448275862069
locrisk260.1	LSD	RAxML-NG	country	AR	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	BE	0	2	-1
locrisk260.1	LSD	RAxML-NG	country	BG	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	BR	3	1	0.5
locrisk260.1	LSD	RAxML-NG	country	BW	1	6	-0.7142857142857143
locrisk260.1	LSD	RAxML-NG	country	CN	0	2	-1
locrisk260.1	LSD	RAxML-NG	country	DE	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	DK	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	ES	1	5	-0.6666666666666666
locrisk260.1	LSD	RAxML-NG	country	ET	1	3	-0.5
locrisk260.1	LSD	RAxML-NG	country	GE	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	IL	0	4	-1
locrisk260.1	LSD	RAxML-NG	country	IN	5	3	0.25
locrisk260.1	LSD	RAxML-NG	country	KE	1	5	-0.6666666666666666
locrisk260.1	LSD	RAxML-NG	country	MM	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	MW	2	10	-0.6666666666666666
locrisk260.1	LSD	RAxML-NG	country	NG	0	2	-1
locrisk260.1	LSD	RAxML-NG	country	NP	1	1	0
locrisk260.1	LSD	RAxML-NG	country	PK	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	SE	14	7	0.3333333333333333
locrisk260.1	LSD	RAxML-NG	country	SN	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	SO	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	TH	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	TZ	0	15	-1
locrisk260.1	LSD	RAxML-NG	country	US	0	2	-1
locrisk260.1	LSD	RAxML-NG	country	UY	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	YE	0	1	-1
locrisk260.1	LSD	RAxML-NG	country	ZA	28	9	0.5135135135135135
locrisk260.1	LSD	RAxML-NG	country	ZM	37	5	0.7619047619047619
